"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
8,"maic_means",1000,0,-0.00622030555853064,0.00499503912506758,0.157957006368682,0.16155920861259,0.158000498880024,0.953,0.00669260786241059,495.567781285845,"unanchored",0.25,1,0,"none",0
8,"unadjusted",1000,0,-0.004967363200466,0.0050880374512539,0.160897871662003,0.161176330060464,0.160894100816103,0.951,0.00682634602111555,500,"unanchored",0.25,1,0,"none",0
8,"maic_meanvar",1000,0,-0.00696061407641895,0.00500313030590728,0.15821287197282,0.162030033568071,0.158286865195287,0.952,0.00675988165576884,490.661873448135,"unanchored",0.25,1,0,"none",0
8,"gcomp",1000,0,-0.006824654675535,0.00500276415590524,0.158201293293103,0.15980401417609,0.158269382578725,0.949,0.00695693898205238,NA,"unanchored",0.25,1,0,"none",0
9,"maic_means",1000,0,0.00191433602259799,0.00646318848207328,0.204383965503179,0.204170708301505,0.204290717439284,0.953,0.00669260786241059,993.843752707636,"anchored",1,1,0,"none",0
9,"gcomp",1000,0,9.31744990910791e-05,0.00620991921496209,0.19637488804925,0.196026149667935,0.196276698161514,0.952,0.00675988165576884,NA,"anchored",1,1,0,"none",0
9,"unadjusted",1000,0,0.00246522728158572,0.00646748521986873,0.2045198402826,0.203860846351751,0.20443241927273,0.955,0.00655553201502365,1000,"anchored",1,1,0,"none",0
9,"maic_index",1000,0,0.00150755075133535,0.00646366894063846,0.204399158937052,0.204258368701771,0.204302495988835,0.952,0.00675988165576884,992.454804189286,"anchored",1,1,0,"none",0
9,"maic_meanvar",1000,0,0.00140291543093107,0.00645345041693064,0.204076020844641,0.204531963748159,0.203978781821063,0.954,0.00662449998113065,987.723184912345,"anchored",1,1,0,"none",0
10,"maic_means",1000,0,-0.00924148202777083,0.00462883908415462,0.146376744283364,0.15348043163153,0.146595123062808,0.967,0.00564898220921256,495.555282453666,"unanchored",1,1,0,"none",0
10,"maic_index",1000,0,-0.010313431133839,0.00460819053091316,0.145723779697061,0.15361612692645,0.146015586191957,0.963,0.00596917079668525,494.30820761484,"unanchored",1,1,0,"none",0
10,"gcomp",1000,0,-0.0104094286428621,0.00460060586786148,0.145483931591779,0.147604933523648,0.145783280871714,0.962,0.00604615580348373,NA,"unanchored",1,1,0,"none",0
10,"maic_meanvar",1000,0,-0.00950331224645461,0.00465168194521455,0.147099098975606,0.153932322076438,0.14733234443994,0.966,0.00573096850453743,490.681281993322,"unanchored",1,1,0,"none",0
10,"unadjusted",1000,0,-0.010249439162316,0.00480376421820671,0.151908362719513,0.153132240624813,0.152177940308709,0.947,0.00708456067798138,500,"unanchored",1,1,0,"none",0
11,"maic_means",1000,0,0.00418132615001921,0.00604077790171308,0.191026170086261,0.192251084733298,0.190976412544953,0.95,0.00689202437604511,994.070824894148,"anchored",4,1,0,"none",0
11,"maic_index",1000,0,0.00386525090683374,0.00604662113502901,0.191210949348042,0.192332007813367,0.191154402742918,0.949,0.00695693898205238,992.708755742865,"anchored",4,1,0,"none",0
11,"gcomp",1000,0,0.00213551400300012,0.00544073912373298,0.172051277857849,0.172423556263942,0.171978489906044,0.952,0.00675988165576884,NA,"anchored",4,1,0,"none",0
11,"unadjusted",1000,0,0.00445217318348392,0.00602131925186233,0.19041083354906,0.191994047164093,0.190367673446336,0.951,0.00682634602111555,1000,"anchored",4,1,0,"none",0
11,"maic_meanvar",1000,0,0.00356970509449451,0.00603849325531746,0.190953923223678,0.192581889890567,0.190891802307437,0.951,0.00682634602111555,987.972119872441,"anchored",4,1,0,"none",0
12,"maic_index",1000,0,-0.00174305571858616,0.00386682358658215,0.122279698436609,0.141026367126226,0.122230972213823,0.978,0.00463853425124791,494.258442891875,"unanchored",4,1,0,"none",0
12,"maic_means",1000,0,-0.000711178134028108,0.00389505438692309,0.123172434729077,0.140908170600227,0.123112887232613,0.977,0.00474035863622153,495.484512024276,"unanchored",4,1,0,"none",0
12,"unadjusted",1000,0,0.000657092556610726,0.00452103786986674,0.142967770566548,0.140615882582975,0.142897779576788,0.945,0.00720936890441875,500,"unanchored",4,1,0,"none",0
12,"maic_meanvar",1000,0,-0.00162259974055455,0.00388398326467425,0.122822335103472,0.141300623127369,0.122771631512282,0.974,0.00503229569878401,490.891070536965,"unanchored",4,1,0,"none",0
12,"gcomp",1000,0,-0.00140102672953941,0.00387359866071403,0.122493945092341,0.126548260098004,0.122440698681436,0.958,0.00634318531969546,NA,"unanchored",4,1,0,"none",0
13,"unadjusted",1000,0,-0.0354123579095913,0.00677243796169229,0.214163292711358,0.209764370170539,0.216965631199374,0.937,0.00768316341099159,1000,"anchored",0.25,2,0,"none",-0.0313127031742616
13,"maic_means",1000,0,-0.0352717931704232,0.00678446434220708,0.214543600255704,0.209998297883574,0.217317801497544,0.94,0.00750999334220744,995.594378991544,"anchored",0.25,2,0,"none",-0.0313127031742616
13,"maic_index",1000,0,-0.00533138409110865,0.0071688827722618,0.226699978390894,0.219620072101995,0.226649312768772,0.942,0.00739161687318817,862.14491418415,"anchored",0.25,2,0,"none",-0.0313127031742616
