"margin","r","link","gamma","truth_family","recon","truth","error","mcse","env_lo","env_hi","contained"
"beta",0.3,"logit",0.3,"t3","gauss_uncal",-0.214982037141402,0.0165940972059239,0.000306498682139272,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"gumbel","gauss",-0.223569904325887,0.0260497682769458,0.000314274920444301,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"t3","gumbel",-0.214982037141402,-0.00858786718448587,0.000302379694084042,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"gumbel","sclayton",-0.223569904325887,0.00403269361477682,0.000446152956807046,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"clayton","gauss_uncal",-0.179466515958866,-0.0189214239766112,0.000311377781549956,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"gumbel","sgumbel",-0.223569904325887,0.0353107589068473,0.000319673718453528,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"clayton","sclayton",-0.179466515958866,-0.0400706947522441,0.000355848733627324,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"gumbel","clayton",-0.223569904325887,0.044103388367021,0.000307324193782755,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"gauss","gauss_uncal",-0.197520136048942,-0.000867803886536095,0.000318239985512542,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"gumbel","gauss_uncal",-0.223569904325887,0.0251819643904097,0.000411558334244942,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"t3","clayton",-0.214982037141402,0.0355155211825351,0.000137874362195657,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"t3","sgumbel",-0.214982037141402,0.0267228917223615,0.000163561810752218,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"t3","gauss",-0.214982037141402,0.01746190109246,0.000152741301837159,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.3,"logit",0.3,"t3","sclayton",-0.214982037141402,-0.00455517356970905,0.000351587315661855,-0.223569904325887,-0.179466515958866,TRUE
"beta",0.6,"cloglog",0.15,"t3","gauss",-0.289890304254852,0.00662964209096173,0.000142025115933759,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"gumbel","gauss",-0.297180731566727,0.0139200694028375,0.000224011864852789,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"clayton","gauss",-0.263374766670134,-0.0198858954937558,0.000139380110116463,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"gumbel","sgumbel",-0.297180731566727,0.0222049730945881,0.000263024678196224,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"clayton","sclayton",-0.263374766670134,-0.0360336239861065,0.000169030554583376,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"gumbel","gauss_uncal",-0.297180731566727,0.0132559227325982,0.000211348840987589,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"gauss","clayton",-0.28326066216389,0.0198858954937558,0.000139380110116463,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"gauss","gumbel",-0.28326066216389,-0.0139200694028375,0.000224011864852789,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"clayton","sgumbel",-0.263374766670134,-0.0116009918020051,0.000196029285673035,-0.299408390656241,-0.263374766670134,TRUE
"beta",0.6,"cloglog",0.15,"t3","gauss_uncal",-0.289890304254852,0.0059654954207225,0.000121070849290698,-0.299408390656241,-0.263374766670134,TRUE
